CustomerID,Cluster
C0001,1
C0002,1
C0003,1
C0004,3
C0005,1
C0006,1
C0007,1
C0008,0
C0009,2
C0010,2
C0011,1
C0012,3
C0013,3
C0014,2
C0015,0
C0016,0
C0017,2
C0018,0
C0019,2
C0020,0
C0021,3
C0022,3
C0023,2
C0024,0
C0025,1
C0026,0
C0027,1
C0028,3
C0029,0
C0030,0
C0031,1
C0032,1
C0033,0
C0034,0
C0035,0
C0036,0
C0037,2
C0038,0
C0039,3
C0040,1
C0041,3
C0042,0
C0043,1
C0044,2
C0045,3
C0046,0
C0047,0
C0048,1
C0049,0
C0050,0
C0051,2
C0052,1
C0053,2
C0054,3
C0055,0
C0056,1
C0057,2
C0058,0
C0059,3
C0060,2
C0061,2
C0062,2
C0063,2
C0064,2
C0065,3
C0066,2
C0067,0
C0068,0
C0069,2
C0070,2
C0071,1
C0072,0
C0073,2
C0074,2
C0075,3
C0076,1
C0077,1
C0078,1
C0079,0
C0080,1
C0081,2
C0082,3
C0083,1
C0084,3
C0085,1
C0086,2
C0087,3
C0088,1
C0089,2
C0090,3
C0091,1
C0092,1
C0093,3
C0094,0
C0095,1
C0096,3
C0097,1
C0098,0
C0099,3
C0100,2
C0101,3
C0102,3
C0103,2
C0104,3
C0105,2
C0106,1
C0107,1
C0108,3
C0109,3
C0110,1
C0111,2
C0112,1
C0113,3
C0114,2
C0115,1
C0116,0
C0117,0
C0118,1
C0119,2
C0120,1
C0121,2
C0122,0
C0123,1
C0124,2
C0125,0
C0126,1
C0127,2
C0128,1
C0129,1
C0130,1
C0131,0
C0132,2
C0133,1
C0134,1
C0135,2
C0136,3
C0137,1
C0138,3
C0139,0
C0140,1
C0141,3
C0142,1
C0143,3
C0144,0
C0145,3
C0146,1
C0147,1
C0148,3
C0149,2
C0150,1
C0151,1
C0152,1
C0153,3
C0154,0
C0155,3
C0156,3
C0157,0
C0158,1
C0159,1
C0160,0
C0161,1
C0162,3
C0163,3
C0164,2
C0165,3
C0166,2
C0167,2
C0168,3
C0169,3
C0170,2
C0171,3
C0172,2
C0173,3
C0174,1
C0175,3
C0176,0
C0177,1
C0178,1
C0179,2
C0181,1
C0182,2
C0183,0
C0184,1
C0185,0
C0186,1
C0187,1
C0188,3
C0189,0
C0190,1
C0191,1
C0192,1
C0193,1
C0194,0
C0195,3
C0196,2
C0197,2
C0198,2
C0199,2
C0200,3
