CustomerID,Lookalikes
C0001,"[('C0107', 0.9964159076264131), ('C0137', 0.9956998211410997), ('C0184', 0.9956410553768718)]"
C0002,"[('C0088', 0.9961371521325482), ('C0142', 0.9882313579578121), ('C0159', 0.9732006290718161)]"
C0003,"[('C0147', 0.9977417997931421), ('C0190', 0.996976191972914), ('C0174', 0.9820309474537442)]"
C0004,"[('C0113', 0.9943242911409664), ('C0102', 0.9792226347243079), ('C0169', 0.9784778256518788)]"
C0005,"[('C0186', 0.9969881420656154), ('C0159', 0.9964676259047148), ('C0140', 0.9912059324692435)]"
C0006,"[('C0048', 0.9934351014317927), ('C0126', 0.9911024127765772), ('C0187', 0.9902942496532497)]"
C0007,"[('C0146', 0.9999943827772282), ('C0178', 0.9943865427376246), ('C0177', 0.9935528515401082)]"
C0008,"[('C0018', 0.9837389614522309), ('C0122', 0.9612985783951968), ('C0046', 0.9549686552607977)]"
C0009,"[('C0198', 0.9999826095098449), ('C0014', 0.9965972369389575), ('C0063', 0.9939644749224881)]"
C0010,"[('C0019', 0.9904539440288612), ('C0073', 0.9846158942280094), ('C0166', 0.9824787404995586)]"
C0011,"[('C0107', 0.995063150937803), ('C0048', 0.9949452688241712), ('C0001', 0.9886535827264492)]"
C0012,"[('C0148', 0.9957812790588176), ('C0163', 0.9935979700992386), ('C0155', 0.9890651066168575)]"
C0013,"[('C0163', 0.9963079661550858), ('C0148', 0.9940707111285845), ('C0155', 0.9916102120153031)]"
C0014,"[('C0060', 0.9994302975718977), ('C0009', 0.9965972369389575), ('C0198', 0.9961557738537922)]"
C0015,"[('C0020', 0.9986602819495181), ('C0058', 0.989616153420537), ('C0033', 0.9883815515757097)]"
C0016,"[('C0154', 0.9960142370739754), ('C0185', 0.9901793997005898), ('C0183', 0.9876945002077896)]"
C0017,"[('C0124', 0.9885213420371396), ('C0053', 0.9719935055254454), ('C0041', 0.9688177046262946)]"
C0018,"[('C0122', 0.9951390835008652), ('C0046', 0.9846240216676592), ('C0008', 0.9837389614522309)]"
C0019,"[('C0166', 0.9984501358621654), ('C0172', 0.9969994457390934), ('C0073', 0.9967498337073831)]"
C0020,"[('C0015', 0.9986602819495181), ('C0058', 0.9957182679504952), ('C0033', 0.993942224292222)]"
